year,Gini_dta_5yr,Gini_data_wealth_trend,psid_ntx_govt__,psid_nts_govt__,psid_ntp_govt__,psid_ntl_govt__,psid_ntk_govt__,psid_ntc_govt__,psid_nsh_govt__,psid_nls_govt__,psid_nlb_govt__,psid_nga_govt__,psid_nds_govt__,psid_ndp_govt__,psid_ndo_govt__,psid_ndm_govt__,psid_ncs_govt__,psid_ncp_govt__,psid_all_govt__,nstr_ndm_govt__,nstr_all_govt__,ndel_ndm_govt__,ndel_all_govt__,hrat_ndm_govt__,hrat_all_govt__,gcbo_ndm_govt__,gcbo_all_govt__,exor_all_govt__,crr3_ndm_govt__,crr3_all_govt__,beqs_ndm_govt__,beqs_all_govt__,_merge
2225,,,.78822452,.79105848,.77687246,.78235871,.78895205,.78315151,.7653687,.79722857,.7428019,.78581977,.77556676,.76997852,.7916314,.76307333,.77132529,.77281684,.78099912,.74557525,.76814961,.62897724,.67676842,.76974148,.78871286,.76526284,.78611594,.75850242,.73634964,.75691962,.75533849,.76929998,2
2230,,,.78822458,.79105848,.77687252,.78235877,.78895205,.78315157,.7653687,.79722857,.74280179,.78581983,.7755667,.76997858,.7916314,.76307327,.77132523,.77281684,.78099912,.74557519,.76814961,.62897718,.67676842,.76974142,.78871286,.76526284,.78611594,.75850242,.73634964,.75691974,.75533903,.76930058,2
2235,,,.78822458,.79105848,.77687252,.78235877,.78895205,.78315157,.7653687,.79722857,.74280167,.78581983,.7755667,.76997864,.7916314,.76307327,.77132517,.77281684,.78099912,.74557519,.76814967,.62897712,.6767683,.76974142,.7887128,.76526284,.78611594,.75850242,.73634958,.75691986,.75533944,.76930106,2
2240,,,.78822458,.79105848,.77687252,.78235877,.78895205,.78315157,.7653687,.79722857,.74280161,.78581983,.77556664,.76997864,.7916314,.76307327,.77132511,.77281684,.78099912,.74557519,.76814961,.62897712,.67676824,.76974142,.7887128,.76526284,.78611594,.75850242,.73634958,.75691986,.75533968,.76930135,2
2245,,,.78822458,.79105848,.77687252,.78235877,.78895205,.78315157,.76536864,.79722852,.74280155,.78581983,.77556664,.76997864,.7916314,.76307327,.77132511,.77281684,.78099912,.74557519,.76814961,.62897712,.67676818,.76974136,.7887128,.76526278,.78611594,.75850242,.73634958,.75691986,.75533986,.76930165,2
2250,,,.78822458,.79105848,.77687252,.78235877,.78895205,.78315157,.76536864,.79722852,.74280155,.78581983,.77556664,.76997864,.7916314,.76307327,.77132511,.77281678,.78099912,.74557519,.76814961,.62897712,.67676812,.76974136,.7887128,.76526278,.78611594,.75850242,.73634958,.75691986,.75534004,.76930183,2
2255,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280149,.78581983,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.7887128,.76526278,.78611594,.75850242,.73634958,.75691986,.7553401,.76930195,2
2260,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280149,.78581983,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534016,.76930201,2
2265,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581983,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534022,.76930207,2
2270,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581977,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534028,.76930213,2
2275,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581977,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534028,.76930213,2
2280,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581977,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534028,.76930219,2
2285,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581977,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534034,.76930219,2
2290,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581983,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534034,.76930219,2
2295,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581983,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534034,.76930219,2
2300,,,.78822452,.79105848,.77687252,.78235871,.78895205,.78315151,.76536864,.79722852,.74280143,.78581983,.77556664,.76997864,.7916314,.76307327,.77132505,.77281678,.78099912,.74557513,.76814961,.62897712,.67676812,.76974136,.78871274,.76526278,.78611594,.75850242,.73634958,.75691986,.75534034,.76930219,2
